,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3,RET,MOM,VOL,ATR_10_res,MFI_10_res,STOCHk_10_3_3_res,Investor_Sentiment_PC1
2024-12-30,53141.421875,53825.226935891544,51090.00669232536,52066.87106502757,48573286,42.99041848672758,3738.808627921335,34.56346574229977,0.019942791394013115,-0.08885262452485354,0.0016999054080239964,83.1383325651268,-1.304867240093337,-4.995829516901495,-0.3551181885504084
2025-01-06,54020.6015625,56365.07613302441,53043.737158114825,53141.423598553345,103207887,41.2269613869481,3697.06166262016,45.84838046599847,0.01654415061697101,-0.013166528428335766,0.0014596097596218083,187.89270730606177,-10.574679962391471,-2.661813413294901,-1.00956242035801
2025-01-13,52457.62109375,53727.54488186685,51969.18886755121,53336.79910090782,90392193,41.25744481137693,3532.496765853023,50.06916752604858,-0.028933044496768257,-0.03955627760254421,0.0013164500826066089,831.868577193617,-5.817430979811213,9.378527689792783,-0.11642959443859412
2025-01-20,52457.62109375,53141.426210428304,51871.50242231145,52359.93464851024,71155922,47.33191210624592,3306.2394680794064,46.0157030986534,0.0,-0.04619078102745766,0.0012899748527559877,525.8119464568686,-1.0594009997387417,2.6475008570383736,-0.01781280979240303
2025-01-27,51187.69140625,52457.61504800811,50503.88636838025,52457.61504800811,42186279,36.54305688225978,3170.9889938084407,29.82762161059124,-0.024208678567989916,0.015212673221444817,0.0009902029919119388,905.812207581233,-16.970115607167017,-18.64385979091107,-2.3767685137692403
2025-02-03,52457.62109375,52946.05331994879,49624.71418179702,49917.773517516296,106477524,50.10412497273533,3186.0240082427736,28.40706118156993,0.02480927841463343,-0.05572489010020398,0.0008254410004826365,1450.2527327363414,-0.6762850165545302,-18.18910712189809,-1.088962262503631
2025-02-10,54704.40625,55974.32996651786,51676.12661830357,51773.81305803572,125030539,64.74462596388553,3297.2419422399253,43.21277374735728,0.04283048124188937,0.001227205402396181,0.0008966126282746529,918.0951849634812,7.938399817064884,-11.720243320707262,-0.0180456150379774
2025-02-17,56853.5078125,57732.68576836341,54411.346823990556,54802.092582152065,103229672,64.63748764709766,3299.651642453218,68.84930982397783,0.03928571224552857,0.045902752239602385,0.001002281695425322,406.6538594310441,4.398074543820712,9.577792166745837,0.7721984696974702
2025-02-24,53239.109375,56462.761869266054,53239.109375,55974.329673165135,89892797,64.85663865028667,3331.126321957896,69.69907266691509,-0.06357388623090954,0.048219759984944655,0.0013336073151291518,268.4669900150966,12.08434092731715,23.09818361623919,2.0618822143895024
2025-03-03,52457.62109375,54118.290662825886,52164.56175803072,52652.99398422951,61665843,58.26571246405408,3193.3865802416226,56.224895831809285,-0.014678838365710378,0.03990438503883087,0.0010461622103811656,576.3428801542332,2.123399680387834,4.01799947701457,0.30143368632478895
2025-03-10,53434.484375,54606.72169218464,51285.38262682815,52262.24705781535,83613087,59.93781604002248,3206.1818287531096,42.16867391491302,0.018621951603641884,0.012017966251657408,0.0010606461153730466,511.61744786537656,4.275543107935356,-10.679758080523435,-0.221104830717154
2025-03-17,60272.53515625,60272.53515625,54118.28926509319,54215.975707809965,168263990,63.20810402260934,3569.3687240027984,60.64257681153288,0.12797074513269324,0.010697126461286177,0.0024922532921668903,-3349.8518054654414,5.996694408498421,-0.27873279718420463,0.8478437786291375
2025-03-24,58807.23828125,60565.59424314784,58123.4331849564,59784.10270452658,84451498,72.65099377264846,3456.647957421663,76.97217537959041,-0.02431118703073265,0.12212372097700841,0.0026118174800094512,-3466.6687500742873,15.37644501467765,21.389109063771002,2.663815644136335
2025-03-31,55127.68359375,58665.288958054814,54734.61633104947,58468.755326704544,88912712,70.91185693808085,3518.24535669955,78.07529628651831,-0.06256975833318779,0.12674557844304402,0.002969136984049958,-4068.5373625967704,16.926572895776133,27.503095549621797,3.1502897675186197
