Date,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3,RET,MOM,VOL,ATR_10_res,MFI_10_res,STOCHk_10_3_3_res,Investor_Sentiment_PC1
2025-02-03,52457.6171875,52946.04937732774,49624.71048649907,49917.76980039571,106477524,44.580859867660685,3187.9242080181984,28.407052457765612,0.024809123896810448,-0.0557248179168327,0.0008254393481660174,1438.6212302575268,-5.4259018670416665,-18.189110395913136,-1.46748718483933
2025-02-10,54704.40234375,55974.32596958705,51676.12292829241,51773.809361049105,125030539,59.28238862560607,3298.9520913458427,43.21276937983989,0.04283048443125592,0.00122712306794448,0.0008966111129579018,907.8857047785068,3.192550996692866,-11.720243240189298,-0.41317897236825896
2025-02-17,56853.5078125,57732.68576836341,54411.346823990556,54802.092582152065,103229672,59.15865099309983,3301.1907766485438,68.8492879322147,0.039285786457285754,0.045902598813523876,0.00100228084990607,397.1007012095333,-0.4111777805400507,9.57777724732285,0.376950876765576
2025-02-24,53239.11328125,56462.766012041284,53239.11328125,55974.33378010321,89892797,59.35922573121037,3332.5111521086897,69.69908397792938,-0.06357381752362745,0.048219757940065944,0.0013336060624991714,256.3097245805716,7.2393400851059795,23.098190898485186,1.644505475266268
2025-03-03,52457.6171875,54118.286632914336,52164.55787360335,52652.9900634311,61665843,58.26571191860277,3194.6329128289194,56.22491578278929,-0.014678984032313491,0.039904451701234245,0.0010461614030217072,564.9433008117048,2.803309174821763,4.018030363524744,0.34681942009739647
2025-03-10,53434.48828125,54606.72568412934,51285.386375971204,52262.25087837066,83613087,59.937816004878684,3207.3035523618414,42.16871633145996,0.01862210192007674,0.012017963210282812,0.0010606459502288683,500.5156896535086,4.97060644512279,-10.679731316683608,-0.17440832866766023
2025-03-17,60272.53125,60272.53125,54118.28575769854,54215.97219408428,168263990,63.208103592382926,3570.3774940006574,60.642594749106706,0.12797058957050877,0.010697272241183109,0.0024922492462888628,-3356.5567157285145,6.524653971511157,-0.27872936425622896,0.9013558532985152
2025-03-24,58807.2421875,60565.598266196015,58123.437045784885,59784.10667566445,84451498,72.65099330513664,3457.5558666417046,76.97220291588464,-0.02431105898675856,0.12212363647192004,0.00261181246221382,-3475.5169776832354,15.829021340495899,21.38912274324526,2.68579126740965
2025-03-31,55127.6875,58665.29311497326,54734.620209447414,58468.75946969697,88912712,70.91185560138253,3519.0624777827925,78.07531104180237,-0.06256975417701394,0.12674569429230553,0.0029691314332153333,-4078.0721833575626,17.34548110899494,27.5030891845867,3.168792402113403
2025-04-07,54243.28515625,55717.287470278534,51983.148274739586,52376.21555848053,114987340,65.85673269116973,3540.570149558408,58.81327540310292,-0.0160427978001072,0.0641759401152916,0.0030112481320730975,-4072.720686063123,15.214163814757086,10.094917001847861,2.1693945436088167
2025-04-14,54341.5546875,56110.35755255425,53555.42008080922,55324.22294586347,53003689,64.21167408307655,3442.00688177707,41.8144476432277,0.0018116441688023066,0.072341673756117,0.00292404453653314,-4121.035438858938,11.388988697067873,-10.168812493502152,0.9059763378480986
2025-04-21,54734.6171875,55422.48490798923,53751.949015372535,54243.28310143627,49386688,55.90192193031669,3264.8597828610323,37.43785871719692,0.007233184664302783,0.049344194028108856,0.002888615485897107,-4103.86847599722,4.7107529103641355,-12.669702126868039,0.2554190690439715
2025-04-28,53358.8828125,55520.75283436924,53260.61599332412,54832.88510013812,55105429,46.9330439108307,3164.387488679441,30.814294835311006,-0.025134630434835326,0.013746894261155718,0.0027962664949863787,-3550.114062783201,0.7063029606630735,-11.787657423666968,-0.08550123051005369
2025-05-05,53850.21875,54538.08650775547,53358.88463731752,53358.88463731752,41271845,49.73565667312587,2965.869109337044,29.04947903400536,0.009208137644607817,-0.05067352263096536,0.0026359563766005147,-3176.4986209521026,6.6545471214556216,-10.705034378834988,0.39331059099178267
2025-05-12,55815.55078125,57584.35344685299,54046.74811564701,54243.28174515845,68250680,57.58932318960084,3042.6956680886387,32.93205415382774,0.03649626829510333,0.022108432537269906,0.0023493989926619907,-3016.7408448814695,5.130738078498176,-19.13910565010317,-0.14843203241961886
2025-05-19,53260.61328125,55717.2836355512,53162.34646707795,55422.483193035056,53178256,49.45080418965426,3003.74653269698,30.445860102577896,-0.045774653555121336,0.07328368486468673,0.002561726936758686,-3367.474407588668,-1.7366845026980613,-17.258277782348138,-0.5615403509627703
2025-05-26,55225.953125,56208.621330071175,52769.282612322066,52965.8162533363,81013633,42.33935747846619,3047.3057512021933,33.82802355021227,0.03690043585063041,0.008886929389488651,0.0026510334670718774,-3676.590592651458,-7.871430148926137,-15.853069118684083,-0.9441788206089556
2025-06-02,58075.6875,58861.82201776649,55225.94987309645,55324.21668781726,55786525,39.489488726033606,3106.1623905489782,47.08006052636238,0.05160136156545514,-0.08218322433038971,0.0012902129980691154,202.94847230788673,-8.149438071173556,1.8286996656688004,-0.5827750551424835
